number,value,params_activation1,params_activation2,params_activation3,params_epochs,params_lr,params_optimizer,params_units1,params_units2,params_units3,state
23,0.9979966878890991,relu,relu,relu,46,1.821334146371926e-05,Lion,279,381,151,COMPLETE
34,0.9978982210159302,relu,relu,relu,50,2.3454164453882867e-05,Lion,262,353,110,COMPLETE
49,0.9975698590278625,relu,relu,relu,50,2.2051688104625833e-05,Lion,299,459,180,COMPLETE
25,0.9967158436775208,relu,relu,relu,50,1.5594434749741144e-05,Lion,198,398,197,COMPLETE
42,0.9964860677719116,relu,tanh,relu,47,2.9716531651094508e-05,Lion,67,458,174,COMPLETE
31,0.9943185448646545,relu,tanh,relu,46,1.9379324845938626e-05,Lion,176,260,185,COMPLETE
47,0.9929720759391785,sigmoid,relu,relu,44,4.903685138876349e-05,Lion,236,271,93,COMPLETE
18,0.9925451874732971,relu,relu,relu,46,2.913963901086926e-05,Lion,137,421,169,COMPLETE
19,0.9915927648544312,relu,relu,relu,47,1.833827859489856e-05,Lion,157,288,186,COMPLETE
12,0.9883087277412415,relu,relu,relu,43,4.9504662232739185e-05,Lion,696,322,48,COMPLETE
33,0.9882102012634277,relu,relu,relu,40,6.409622484632898e-05,Lion,114,193,165,COMPLETE
15,0.9876518249511719,relu,relu,relu,44,0.00012527270857683846,Lion,227,405,80,COMPLETE
22,0.9842036366462708,relu,relu,relu,40,3.541382329046297e-05,Lion,148,281,254,COMPLETE
40,0.9744827747344971,relu,relu,relu,37,7.079719877416132e-05,Lion,169,185,271,COMPLETE
9,0.9710016846656799,tanh,sigmoid,relu,45,0.00015035162371961956,Lion,242,469,120,COMPLETE
27,0.9703118801116943,relu,relu,relu,35,9.860129101480477e-05,Lion,91,437,202,COMPLETE
46,0.9691298007965088,relu,relu,relu,48,0.00022949298424936387,Adam,79,302,204,COMPLETE
32,0.9628244042396545,relu,relu,relu,45,7.667723453894188e-06,Lion,195,244,192,COMPLETE
13,0.9617734551429749,relu,relu,relu,42,0.00019356391679580925,Lion,699,342,34,COMPLETE
1,0.9613465070724487,tanh,tanh,tanh,24,4.3640819488368334e-05,Adam,558,233,226,COMPLETE
28,0.9603941440582275,relu,relu,relu,38,1.5541876014498635e-05,Adam,269,369,234,COMPLETE
24,0.9578653573989868,relu,relu,relu,46,4.3121721245878105e-06,Lion,280,440,151,COMPLETE
43,0.9561576247215271,relu,tanh,relu,48,1.2404288656601058e-05,Lion,46,217,228,COMPLETE
36,0.9549753665924072,relu,relu,relu,48,9.289552530533729e-06,Adam,253,360,143,COMPLETE
38,0.9538917541503906,relu,relu,relu,33,0.0006209121370134929,Lion,210,350,138,COMPLETE
37,0.9535630941390991,relu,relu,relu,50,2.1084487961454368e-05,RMSprop,369,319,107,COMPLETE
26,0.9457799196243286,relu,relu,relu,50,3.619133217140235e-06,Lion,192,382,131,COMPLETE
48,0.9429228901863098,relu,relu,relu,41,5.313683500709025e-06,Lion,172,381,217,COMPLETE
11,0.9409195184707642,tanh,tanh,relu,12,2.887195607979741e-05,Adam,496,145,216,COMPLETE
44,0.938522219657898,relu,relu,relu,22,3.350198580400878e-05,Lion,64,470,152,COMPLETE
2,0.9305747151374817,sigmoid,relu,relu,37,6.981588339798696e-06,RMSprop,623,365,81,COMPLETE
35,0.927980363368988,relu,relu,relu,50,0.0003300782765411638,RMSprop,401,257,109,COMPLETE
41,0.9218719005584717,sigmoid,relu,relu,45,6.1643012663383335e-06,Lion,139,409,176,COMPLETE
45,0.9204269647598267,relu,relu,relu,43,9.431923823717378e-05,RMSprop,326,471,125,COMPLETE
3,0.9132347702980042,relu,sigmoid,relu,31,0.00036543619774863253,RMSprop,374,339,291,COMPLETE
6,0.9038423299789429,sigmoid,relu,tanh,18,3.6928565213378463e-06,Adam,326,429,284,COMPLETE
10,0.8924794793128967,relu,relu,relu,50,1.4076314214523893e-06,Lion,60,492,213,COMPLETE
21,0.8898522257804871,relu,relu,relu,47,1.068717141831177e-06,Lion,32,322,175,COMPLETE
14,0.7666666507720947,relu,relu,relu,43,0.0015537699770950732,Lion,221,494,45,COMPLETE
17,0.5115928053855896,relu,relu,relu,41,0.002188075251871787,Lion,461,298,63,COMPLETE
4,0.5,relu,tanh,tanh,35,0.0007145096981285772,RMSprop,177,206,164,COMPLETE
39,0.5,relu,relu,relu,29,2.3504244709939267e-06,Ftrl,284,385,205,COMPLETE
30,0.5,relu,relu,relu,16,0.04797443654762943,Lion,348,409,248,COMPLETE
29,0.5,relu,relu,relu,27,2.6835373910025674e-06,Ftrl,306,453,158,COMPLETE
5,0.5,relu,relu,relu,49,5.483833861354103e-05,Ftrl,416,223,141,COMPLETE
20,0.5,relu,relu,relu,48,1.4154900373064509e-05,Ftrl,129,130,187,COMPLETE
16,0.5,relu,relu,relu,32,9.431127557914386e-06,Ftrl,100,400,63,COMPLETE
8,0.5,tanh,relu,sigmoid,25,0.009187811266800877,RMSprop,312,55,92,COMPLETE
7,0.5,relu,sigmoid,tanh,38,0.005652821000929791,Lion,589,55,119,COMPLETE
0,0.5,sigmoid,relu,relu,23,0.06961931560495944,RMSprop,565,250,95,COMPLETE
